Term Name,Label,Term IRI,Term version IRI,Modified,Definition,Type,Used,Note,Replacement
dwc:EventAttributeRemarks,Event Attribute Remarks,http://rs.tdwg.org/dwc/terms/EventAttributeRemarks,http://rs.tdwg.org/dwc/terms/version/EventAttributeRemarks-2008-11-19,2009-04-24,Comments or notes accompanying the measurement or characteristic of the sampling event.,Property,False,This term is no longer recommended for use.,
dwc:EventAttributeType,Event Attribute Type,http://rs.tdwg.org/dwc/terms/EventAttributeType,http://rs.tdwg.org/dwc/terms/version/EventAttributeType-2008-11-19,2009-04-24,The nature of the measurement or characteristic of the sampling event. Recommended best practice is to use a controlled vocabulary.,Property,False,This term is no longer recommended for use.,
dwc:EventAttributeUnit,Event Attribute Unit,http://rs.tdwg.org/dwc/terms/EventAttributeUnit,http://rs.tdwg.org/dwc/terms/version/EventAttributeUnit-2008-11-19,2009-04-24,The units for the value of the measurement or characteristic of the sampling event. Recommended best practice is to use International System of Units (SI) units.,Property,False,This term is no longer recommended for use.,
dwc:EventAttributeValue,Event Attribute,http://rs.tdwg.org/dwc/terms/EventAttributeValue,http://rs.tdwg.org/dwc/terms/version/EventAttributeValue-2008-11-19,2009-04-24,The value of the measurement or characteristic of the sampling event.,Property,False,This term is no longer recommended for use.,
dwc:EventMeasurement,Event Measurement,http://rs.tdwg.org/dwc/terms/EventMeasurement,http://rs.tdwg.org/dwc/terms/version/EventMeasurement-2008-11-19,2009-10-09,The category of information pertaining to measurements associated with an event.,Class,False,This term is no longer recommended for use.,
dwc:FossilSpecimen,Fossil Specimen,http://rs.tdwg.org/dwc/terms/FossilSpecimen,http://rs.tdwg.org/dwc/terms/version/FossilSpecimen-2018-09-06,2018-09-06,A preserved specimen that is a fossil.,Class,True,,http://rs.tdwg.org/dwc/dwctype/FossilSpecimen
dwc:Generalizations,Generalizations,http://rs.tdwg.org/dwc/terms/Generalizations,http://rs.tdwg.org/dwc/terms/version/Generalizations-2008-11-19,2009-04-24,Actions taken to make the data as shared less specific or complete than in its original form. Suggests that alternative data of highly quality may be available on request.,Property,False,This term is no longer recommended for use.,
dwc:GeologicalContext,Geological Context,http://rs.tdwg.org/dwc/terms/GeologicalContext,http://rs.tdwg.org/dwc/terms/version/GeologicalContext-2018-09-06,2018-09-06,"Geological information, such as stratigraphy, that qualifies a region or place.",Class,True,,
dwc:HigherTaxon,Higher Taxon,http://rs.tdwg.org/dwc/terms/HigherTaxon,http://rs.tdwg.org/dwc/terms/version/HigherTaxon-2009-01-21,2009-08-24,A list (concatenated and separated) of the names for the taxonomic ranks less specific than the ScientificName.,Property,False,This term is no longer recommended for use.,
dwc:HigherTaxonID,Higher Taxon ID,http://rs.tdwg.org/dwc/terms/HigherTaxonID,http://rs.tdwg.org/dwc/terms/version/HigherTaxonID-2009-01-21,2009-08-24,A global unique identifier for the parent to the taxon.,Property,False,This term is no longer recommended for use.,
dwc:HumanObservation,Human Observation,http://rs.tdwg.org/dwc/terms/HumanObservation,http://rs.tdwg.org/dwc/terms/version/HumanObservation-2018-09-06,2018-09-06,An output of a human observation process.,Class,True,,http://rs.tdwg.org/dwc/dwctype/HumanObservation
dwc:Identification,Identification,http://rs.tdwg.org/dwc/terms/Identification,http://rs.tdwg.org/dwc/terms/version/Identification-2023-06-28,2023-06-28,"A taxonomic determination (e.g., the assignment to a dwc:Taxon).",Class,True,,
dwc:LatestDateCollected,Latest Date Collected,http://rs.tdwg.org/dwc/terms/LatestDateCollected,http://rs.tdwg.org/dwc/terms/version/LatestDateCollected-2008-11-19,2009-04-24,"The latest date-time in a period during which a event occurred. If the event is recorded as occurring at a single date-time, populate both EarliestDateCollected and LatestDateCollected with the same value. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).",Property,False,This term is no longer recommended for use.,http://rs.tdwg.org/dwc/dwcore/LatestDateCollected
dwc:LivingSpecimen,Living Specimen,http://rs.tdwg.org/dwc/terms/LivingSpecimen,http://rs.tdwg.org/dwc/terms/version/LivingSpecimen-2018-09-06,2018-09-06,A specimen that is alive.,Class,True,,http://rs.tdwg.org/dwc/dwctype/LivingSpecimen
